gn,gender
RAJKO,M
RAJNA,F
RAMONA,F
RAOUL,M
RASTIMIR,M
RASTKO,M
RATKO,M
RAUL,M
RAY,M
REA,F
REBECCA,F
REBEKA,F
REGINA,F
RELJA,M
RENATA,F
RENATO,M
RENCO,M
RENE,M
RENEA,F
RIA,F
RICARDO,M
RICHARD,M
RINA,F
RINAT,M
RINO,M
RIO,M
RITA,F
ROBERT,M
ROBERTA,F
ROBERTINO,M
ROBERTO,M
ROBI,M
ROBIN,M
ROCCO,M
ROCK,M
ROK,M
ROKO,M
ROLAND,M
ROMAN,M
ROMANA,F
ROMANO,M
ROMEO,M
ROMINA,F
RONALD,M
ROZA,F
ROZALIA,F
ROZALIJA,F
ROŽA,F
RUBEN,M
RUBIN,M
RUDI,M
RUDOLF,M
RUJANA,F
RUŽA,F
RUŽICA,F
RYCARDO,M
SABINA,F
SABINO,M
SABLJO,M
SAFETINO,M
SAMANTA,F
SAMANTHA,F
SAMIRA,F
SAMUEL,M
SANA,F
SANDI,M
SANDRA,F
SANDRO,M
SANELA,F
SANJA,F
SANJIN,M
SANTINA,F
SANTINO,M
SARA,F
SARAH,F
SAVO,M
SEBASTIAN,M
SEBASTIJAN,M
SELENA,F
SELMA,F
SERGEJ,M
SERGIO,M
SILVAN,M
SILVANA,F
SILVANO,M
SILVESTAR,M
SILVIA,F
SILVIJA,F
SILVIJO,M
SILVIO,M
SIMEON,M
SIMON,M
SIMONA,F
SINIŠA,M
SIVLIA,F
SLAVEN,M
SLAVICA,F
SLAVKO,M
SLOBODAN,M
SNJEŽANA,F
SOFIA,F
SOFIJA,F
SONJA,F
SREĆKO,M
SRĐAN,M
STANA,F
STANKO,M
STEFAN,M
STEFANI,F
STEFANIE,F
STEFANO,M
STELA,F
STELLA,F
STEPHANI,M
STEVEN,M
STIJEPO,M
STIPAN,M
STIPE,M
STIVEN,M
STJEPAN,M
STJEPANA,F
STJEPKO,M
STRAHINJA,F
STRIBOR,M
SUNČANA,F
SUNČICA,F
SUZANA,F
SVALINA,F
SVEBOR,M
SVEN,M
SVENIA,F
SVIBOR,M
SVJETLANA,F
SWEN,M
TADEJ,M
TAHEL,M
TAJANA,F
TALIA,F
TAMARA,F
TANJA,F
TARA,F
TARIK,M
TATJANA,F
TEA,F
TEDDY,M
TEDI,M
TENA,F
TEO,M
TEODOR,M
TEODORA,F
TEOFIL,M
TEOTIM,M
TEREZA,F
TEREZIJA,F
TESA,F
TESSA,F
TEUTA,F
TIA,F
TIAN,M
TIANA,F
TIBOR,M
TIHANA,F
TIHOMIR,M
TIJANA,F
TIM,M
TIMEA,F
TIMNA,F
TIMO,M
TIMON,M
TIMOR,M
TIMOTEJ,M
TIMUR,M
TIN,M
TINA,F
TINO,M
TIO,M
TITUŠ,M
TOJČIĆ,M
TOM,M
TOMA,M
TOMAS,M
TOME,M
TOMEK,M
TOMI,M
TOMISLAV,M
TOMISLAVA,F
TOMO,M
TONI,M
TONINA,F
TONINO,M
TONIO,M
TONKA,F
TONKO,M
TONY,M
TONĆI,M
TONĆICA,F
TONČI,M
TONČICA,F
TRISTAN,M
TVRTKO,M
ULIKA,F
UMA,F
UNA,F
URBAN,M
UROŠ,M
URŠULA,F
VAL,M
VALENTIN,M
VALENTINA,F
VALENTINO,M
VALERIA,F
VALERIJA,F
VALNEA,F
VALTER,M
VANA,F
VANDA,F
VANESA,F
VANESSA,F
VANJA,F
VANNA,F
VATROSLAV,M
VEDRAN,M
VEDRANA,F
VELIMIR,M
VELJKO,M
VENCI,M
VENDY,M
VENO,M
VERA,F
VERON,M
VERONIKA,F
VESELKO,M
VESNA,F
VIBOR,M
VICE,M
VICENCA,F
