ccode,week,caseRate,deathRate
PRT,2021-05,1205.02230546133,352.858596555195
PRT,2021-06,589.214609414283,257.772286060415
PRT,2021-07,292.485102578121,156.17853654301
PRT,2021-08,173.088165406279,91.2983982278787
PRT,2021-09,120.26135817634,58.5669512036286
PRT,2021-10,92.8232757301954,33.3142027576196
PRT,2021-11,70.940797942173,21.2705842679845
PRT,2021-12,61.7138321638235,14.4717673786744
PRT,2021-13,61.4515920838073,9.80972151171888
PRT,2021-14,68.5903498175829,7.28444666711798
PRT,2021-15,71.2710261910823,5.92468328925596
PRT,2021-16,66.8226574263623,4.56491991139393
PRT,2021-17,60.5386081015285,3.01090462240877
PRT,2021-18,50.9911266698259,2.71952675572404
PRT,2021-19,48.776654883022,3.10803057797034
PRT,2021-20,55.8862748301291,2.42814888903933
PRT,2021-21,65.2686421373771,1.55401528898517
PRT,2021-22,73.2232578978699,1.74826720010832
PRT,2021-23,87.5007733654212,2.13677102235461
PRT,2021-24,124.33093571437,3.10803057797034
PRT,2021-25,168.9408871038,3.78791226690135
PRT,2021-26,240.639267499353,4.75917182251708
PRT,2021-27,332.986626047297,7.5758245338027
PRT,2021-28,407.589072514141,9.51834364503416
PRT,2021-29,435.911001155896,13.3062559119355
PRT,2021-30,383.997177908235,15.8315307565364
PRT,2021-31,324.28414042898,17.8711758233294
PRT,2021-32,314.396718152812,18.9395613345068
PRT,2021-33,315.649642979556,15.5401528898517
PRT,2021-34,306.005035592292,15.248775023167
PRT,2021-35,264.551677758613,16.0257826676596
PRT,2021-36,195.417422589885,13.2091299563739
PRT,2021-37,142.172973751031,10.1010993784036
PRT,2021-38,109.509514895674,8.64421004498
PRT,2021-39,88.4914581121492,8.35283217829528
PRT,2021-40,81.7217790095076,9.03271386722629
PRT,2021-41,84.2470538541085,9.71259555615731
PRT,2021-42,93.7071219258057,8.74133600054157
PRT,2021-43,106.08096866435,6.02180924481753
PRT,2021-44,122.73807004316,6.89594284487169
PRT,2021-45,167.454859983708,10.003973422842
PRT,2021-46,248.001414930921,12.6263742230045
PRT,2021-47,347.924598012667,16.0257826676596
PRT,2021-48,439.378397769444,20.5907025790535
PRT,2021-49,507.434554831438,23.6016072014623
PRT,2021-50,571.60567367097,23.7958591125854
PRT,2021-51,869.617243120544,21.8533400013539
PRT,2021-52,2007.71976519995,19.8136949345609
ROU,2021-01,282.163883829954,76.7764725432538
ROU,2021-02,259.539657790086,67.7743794013898
ROU,2021-03,197.32174277626,65.6014603671467
ROU,2021-04,179.126132672849,65.9118773720386
ROU,2021-05,175.380434147154,62.6007626531921
ROU,2021-06,171.541610519991,58.5136054221159
ROU,2021-07,180.569571745596,55.3576992057153
ROU,2021-08,214.560233781255,55.9267970480171
ROU,2021-09,260.12945009938,63.2733328304578
ROU,2021-10,309.258114740265,73.5688301593712
ROU,2021-11,365.70744707985,84.7955785029602
ROU,2021-12,401.576131995105,104.40358597863
ROU,2021-13,397.152689675396,120.700478735452
ROU,2021-14,348.453435224611,125.460206143794
ROU,2021-15,270.109356806653,124.994580636456
ROU,2021-16,197.802889133842,113.509151455457
ROU,2021-17,137.157753611469,97.2639948661166
ROU,2021-18,96.829411059268,78.1216128977852
ROU,2021-19,70.9406328512868,58.4618692546339
ROU,2021-20,45.4657439831613,43.4066445173786
ROU,2021-21,27.477078549678,30.9382281542222
ROU,2021-22,16.2761982898299,20.5909946578268
ROU,2021-23,10.6835185850282,13.0892503729402
ROU,2021-24,6.81365325737636,8.22605062963433
ROU,2021-25,4.4958729541838,4.96667207826979
ROU,2021-26,3.57496917300461,3.56979555625641
ROU,2021-27,3.11969089916321,1.96597436431512
ROU,2021-28,3.8077819266735,1.44861268949535
ROU,2021-29,5.86688139245618,1.50034885697733
ROU,2021-30,9.52462843343195,1.44861268949535
ROU,2021-31,14.3981754102342,2.17291903424303
ROU,2021-32,21.6308916242146,3.20764238388257
ROU,2021-33,33.2508348406666,5.74271459049944
ROU,2021-34,52.8019325321057,11.0198036736611
ROU,2021-35,83.7142926025869,16.6073097617146
ROU,2021-36,136.619697469657,27.5753772678937
ROU,2021-37,245.270822798556,49.8219292851438
ROU,2021-38,408.969230328279,83.1400211435369
ROU,2021-39,646.127822065662,124.373746626673
ROU,2021-40,872.339040763858,187.077981614829
ROU,2021-41,1002.22268922736,252.886386651903
ROU,2021-42,1062.97647070145,305.502068981074
ROU,2021-43,958.39180813663,328.679872013
ROU,2021-44,703.922294759778,303.587830784241
ROU,2021-45,446.322743250267,248.540548583417
ROU,2021-46,262.59726528827,178.386305477857
ROU,2021-47,164.691741945377,112.370955770854
ROU,2021-48,109.075361902252,67.1535453916061
ROU,2021-49,75.2036930518017,44.1309508621263
ROU,2021-50,57.0184301818868,42.2684488327752
ROU,2021-51,47.131648576081,34.0423982031408
ROU,2021-52,71.2665707064232,18.2628671211379
SVK,2021-01,1664.16477627823,205.024924544782
SVK,2021-02,1355.43644932742,189.451092027975
SVK,2021-03,1235.05988505046,212.17056534661
SVK,2021-04,1285.83057905525,210.155128197377
SVK,2021-05,1324.71019387956,205.574589221845
SVK,2021-06,1377.84444599572,234.340373988182
SVK,2021-07,1381.60048795566,236.172589578394
SVK,2021-08,1374.1983369712,242.76856570316
SVK,2021-09,1294.82675760319,250.280649623031
SVK,2021-10,1165.98535729945,234.706817106224
SVK,2021-11,978.293192238075,211.254457551504
SVK,2021-12,802.253918330456,174.976588865296
SVK,2021-13,615.29463950517,176.99202601453
SVK,2021-14,502.045393874134,200.077942451208
SVK,2021-15,431.669993054071,199.345056215123
SVK,2021-16,340.88371055904,156.837654522192
SVK,2021-17,285.27596739609,111.948372561985
SVK,2021-18,223.970033747579,92.5268873057325
SVK,2021-19,164.862758807323,72.0060726953522
SVK,2021-20,115.61280374241,41.0416292207605
SVK,2021-21,83.530708757789,19.2382636972315
